,Name,Date Of Birth,Country,Number_100m,Number_50m
123,"SHARAFUTDINOVA, Nika",2005,UKR,1:02.64,30.38
124,"KROEGER, Lina",2004,GER,1:03.00,29.90
125,"CHMYKHOVA, Elizaveta",2005,RUS,1:03.47,31.14
126,"GOBET, Malika",2004,SUI,1:03.51,29.97
127,"WEILER SASTRE, Carmen",2004,ESP,1:01.37,29.93
128,"VANOTTERDIJK, Roos",2005,BEL,1:01.82,30.07
129,"SHANAHAN, Katie",2004,GBR,1:01.92,30.46
130,"UGRAI, Panna",2004,HUN,1:02.04,30.18
131,"GAETANI, Erika",2004,ITA,1:02.17,30.18
132,"BERNAT, Laura",2005,POL,1:02.23,30.75
133,"KURILKINA, Aleksandra",2005,RUS,1:02.42,29.67
134,"SHARAFUTDINOVA, Nika",2005,UKR,1:02.72,30.62
135,"FONTANA, Chiara",2004,ITA,1:02.85,30.59
136,"CHMYKHOVA, Elizaveta",2005,RUS,1:03.03,31.04
137,"KROEGER, Lina",2004,GER,1:03.03,29.93
138,"DENIZLI, Sudem",2005,TUR,1:03.05,30.91
139,"GOBET, Malika",2004,SUI,1:03.15,30.28
140,"MOLUH, Mary",2005,FRA,1:03.17,30.03
141,"SEIDEL, Lise",2006,GER,1:03.36,30.55
142,"VERDONCK, Fleur",2006,BEL,1:03.37,31.13
143,"TRENTKIEWICZ, Dominika",2004,POL,1:03.40,30.58
144,"EGGI, Vlada",2007,RUS,1:03.43,31.32
145,"ZHUKOVA, Evgeniya",2004,UKR,1:04.28,30.57
146,"DECAESSTECKER, Elise",2004,BEL,1:04.43,30.88
147,"PALICKA, Wiktoria",2005,POL,1:04.50,30.80
148,"ERLENDSDOTTIR, Elisabeth",2005,FAR,1:04.67,31.60
149,"SOROKINA, Anastasiia",2004,RUS,1:04.69,30.95
150,"CERNADAS GONZALEZ, Ana",2004,ESP,1:04.69,31.36
151,"MARKOVIC, Jana",2004,SRB,1:04.69,31.30
152,"EMINOVA BLAZEVSKA, Mia",2005,MKD,1:04.73,31.62
